date,eth_price,perp_price,daily_funding_rate_bps,spot_pnl,perp_pnl,net_delta_pnl,funding_income,benchmark_cost,carry_pnl,total_pnl_daily,capital,margin_ratio,is_viable,carry_score_bps,total_pnl_cumulative,cumulative_funding,cumulative_benchmark,cumulative_carry
2026-02-28 00:00:00+00:00,1964.71,1965.25,-1.2052522288171403,0.0,0.0,0.0,0.0,0.0,-50.0,-50.0,99950.0,0.2,False,-644.9170635182562,-50.0,0.0,0.0,-50.0
2026-03-01 00:00:00+00:00,1939.68,1939.15,-0.7096805811405519,-1273.979365911504,1328.0753084849218,54.095942573417915,54.095942573417915,5.476712328767124,48.619230244650794,48.619230244650794,99998.61923024466,0.2132807530848492,False,-464.03341211630146,-1.3807697553492062,54.095942573417915,5.476712328767124,-1.3807697553492062
2026-03-02 00:00:00+00:00,2027.49,2027.75,-0.6659103248263243,4527.035387280364,-4569.012196065292,-41.976808784927925,-41.976808784927925,5.4793763961777895,-47.45618518110572,-47.45618518110572,99951.16304506356,0.16819743035237247,False,-448.05726856160834,-48.83695493645492,12.11913378848999,10.956088724944912,-48.83695493645492
2026-03-03 00:00:00+00:00,1982.87,1981.8,-0.14180306605382498,-2200.7506818775946,2266.058439156704,65.30775727910941,65.30775727910941,5.4767760572637565,59.830981221845654,59.830981221845654,100010.9940262854,0.19157867955730823,False,-256.75811910964615,10.994026285390731,77.4268910675994,16.432864782208668,10.994026285390731
2026-03-04 00:00:00+00:00,2127.61,2127.85,1.1271899499161926,7299.520392158843,-7369.56302351397,-70.04263135512701,-70.04263135512701,5.480054467193721,-75.52268582232074,-75.52268582232074,99935.47134046309,0.11726243480473228,True,206.4243317194103,-64.52865953693001,7.384259712472385,21.91291924940239,-64.52865953693001
2026-03-05 00:00:00+00:00,2072.99,2074.1,1.6905377677463769,-2567.1998157557273,2526.0239208590883,-41.175894896638965,-41.175894896638965,5.475916237833594,-46.65181113447256,-46.65181113447256,99888.81952932861,0.14461264470169194,True,412.0462852274276,-111.18047067140256,-33.79163518416658,27.388835487235983,-111.18047067140256
2026-03-06 00:00:00+00:00,1978.49,1979.05,1.2975949025676818,-4558.632699627096,4582.710573260684,24.077873633587842,24.077873633587842,5.473359974209787,18.604513659378057,18.604513659378057,99907.42404298799,0.19297799262180387,True,268.6221394372039,-92.5759570120245,-9.713761550578738,32.86219546144577,-92.5759570120245
2026-03-07 00:00:00+00:00,1969.61,1969.15,-0.572619290458339,-448.8271358460305,500.24001414820106,51.412878302170554,51.412878302170554,5.47437939961578,45.93849890255478,45.93849890255478,99953.36254189054,0.198015519653988,False,-414.00604101729374,-46.637458109469726,41.699116751591816,38.33657486106155,-46.637458109469726
2026-03-08 00:00:00+00:00,1936.93,1936.65,-2.3405113974994673,-1659.2117221175706,1650.4583195795176,-8.753402538053024,-8.753402538053024,5.476896577637838,-14.230299115690862,-14.230299115690862,99939.13224277485,0.21455285587075432,False,-1059.2866600873056,-60.86775722516059,32.94571421353879,43.81347143869939,-60.86775722516059
2026-03-09 00:00:00+00:00,1993.19,1993.8,1.34936707696857,2904.596449019836,-2950.972039346289,-46.375590326452766,-46.375590326452766,5.47611683522054,-51.8517071616733,-51.8517071616733,99887.28053561319,0.18547258618496376,True,287.51898309352805,-112.71946438683389,-13.429876112913973,49.289588273919925,-112.71946438683389
2026-03-10 00:00:00+00:00,2036.8,2037.0,-0.025518386867669676,2187.949969646641,-2166.7168221486622,21.233147497978734,21.233147497978734,5.473275645787024,15.759871852191711,15.759871852191711,99903.04040746538,0.16349065004452362,False,-214.31421120669944,-96.95959253464218,7.803271385064761,54.76286391970695,-96.95959253464218
2026-03-11 00:00:00+00:00,2052.25,2052.7,1.6417030597837279,758.5428122545146,-770.741286205201,-12.198473950686434,-12.198473950686434,5.474139200409062,-17.672613151095497,-17.672613151095497,99885.36779431428,0.15550184454903968,True,394.2216168210607,-114.63220568573769,-4.395202565621673,60.237003120116015,-114.63220568573769
2026-03-12 00:00:00+00:00,2074.0,2074.1,0.5908056240929346,1059.8124010232634,-1042.5293515857304,17.28304943753301,17.28304943753301,5.473170838044618,11.80987859948839,11.80987859948839,99897.17767291378,0.14461264470169194,True,10.644052793921134,-102.8223270862493,12.887846871911336,65.71017395816064,-102.8223270862493
2026-03-13 00:00:00+00:00,2092.81,2093.2,2.8736810217659206,906.9431051109023,-920.8813461260235,-13.938241015121207,-13.938241015121207,5.473817954680207,-19.412058969801414,-19.412058969801414,99877.76561394398,0.134893779417377,True,843.8935729445609,-122.23438605605071,-1.0503941432098713,71.18399191284084,-122.23438605605071
2026-03-14 00:00:00+00:00,2096.7,2096.5,1.7936914391769587,185.8744941012347,-157.65335371680234,28.221140384432346,28.221140384432346,5.472754280216108,22.748386104216237,22.748386104216237,99900.51400004819,0.1332146037399822,True,449.6973752995899,-99.48599995183447,27.170746241222474,76.65674619305695,-99.48599995183447
2026-03-15 00:00:00+00:00,2178.67,2178.95,2.5185559492827783,3909.476796871281,-3932.745051275921,-23.268254404640174,-23.268254404640174,5.474000767125928,-28.742255171766104,-28.742255171766104,99871.77174487643,0.09126065386083204,True,714.272921488214,-128.22825512360058,3.9024918365823,82.13074696018288,-128.22825512360058
2026-03-16 00:00:00+00:00,2352.94,2353.0,2.257287027068733,7998.916770323183,-7987.79228527502,11.124485048163478,11.124485048163478,5.472425849034325,5.6520591991291536,5.6520591991291536,99877.42380407556,0.002696857906118821,True,618.9097648800874,-122.57619592447142,15.026976884745778,87.6031728092172,-122.57619592447142
2026-03-17 00:00:00+00:00,2318.03,2318.45,2.024082958373974,-1483.6757418378643,1468.3382915427146,-15.337450295149665,-15.337450295149665,5.47273555090825,-20.810185846057916,-20.810185846057916,99856.6136182295,0.020277318407327403,True,533.7902798065005,-143.38638177052934,-0.3104734104038869,93.07590836012545,-143.38638177052934
2026-03-18 00:00:00+00:00,2203.47,2203.6,1.1646466129737003,-4942.127582473066,4953.740645690008,11.613063216942464,11.613063216942464,5.471595266752302,6.141467950190163,6.141467950190163,99862.75508617969,0.07871772039180769,True,220.09601373540062,-137.24491382033918,11.302589806538577,98.54750362687776,-137.24491382033918
